#{"t_start": 0, "env_id": 0}
r,l,t
-3944.78558,15.000000000000325,20.967799
-6110.997606,15.000000000000325,57.0547
-5129.193312,15.000000000000325,93.068936
-4876.53729,15.000000000000325,127.447851
-3877.515911,15.000000000000325,161.758878
-3611.86064,15.000000000000325,194.666563
-5869.306373,15.000000000000325,226.786535
-4804.302378,15.000000000000325,258.733272
-4143.697177,15.000000000000325,291.203816
-5116.689825,15.000000000000325,328.203112
-5013.662358,15.000000000000325,365.307827
-5066.559179,15.000000000000325,401.052341
-6107.374145,15.000000000000325,433.915309
-5260.810631,15.000000000000325,473.153889
-4694.73141,15.000000000000325,507.534235
-3030.816413,15.000000000000325,537.194286
-5316.399149,15.000000000000325,568.696391
-4859.566061,15.000000000000325,608.057899
-2765.782513,15.000000000000325,637.377278
-4665.819363,15.000000000000325,666.400773
-4491.009853,15.000000000000325,699.206282
-8507.844602,15.000000000000325,730.893133
-5420.426392,15.000000000000325,764.956993
-4986.937478,15.000000000000325,799.786885
-4740.594327,15.000000000000325,833.396964
-5328.221676,15.000000000000325,867.43233
-4032.477592,15.000000000000325,897.450069
-4348.011967,15.000000000000325,929.801131
-5940.233329,15.000000000000325,959.256369
-4688.4866,15.000000000000325,991.745443
-5440.450391,15.000000000000325,1029.602175
-4941.161192,15.000000000000325,1061.766657
-4564.075799,15.000000000000325,1098.894808
-4525.65604,15.000000000000325,1126.358643
-4279.129822,15.000000000000325,1158.152977
-4795.467647,15.000000000000325,1193.571705
-5863.762886,15.000000000000325,1234.587731
-4610.189874,15.000000000000325,1268.34054
-4863.611541,15.000000000000325,1300.841333
-4424.970897,15.000000000000325,1335.873144
-5246.516052,15.000000000000325,1365.192372
-3922.238768,15.000000000000325,1398.572104
-4609.634381,15.000000000000325,1432.02259
-4420.299429,15.000000000000325,1464.383461
-4773.996278,15.000000000000325,1497.644925
-5368.294604,15.000000000000325,1530.739153
-4575.853543,15.000000000000325,1563.806085
-4944.058343,15.000000000000325,1594.294969
-5185.391,15.000000000000325,1630.428537
-4470.427807,15.000000000000325,1664.358346
-3662.541693,15.000000000000325,1694.342985
-4280.205245,15.000000000000325,1727.164431
-5031.92538,15.000000000000325,1759.129282
-3362.625538,15.000000000000325,1791.755725
-5812.942842,15.000000000000325,1821.865359
-5607.247178,15.000000000000325,1852.55977
-4374.073213,15.000000000000325,1883.237909
-4609.458341,15.000000000000325,1918.250776
-5419.70917,15.000000000000325,1950.168958
-5018.263688,15.000000000000325,1982.940887
-4573.899083,15.000000000000325,2017.822457
-4017.236522,15.000000000000325,2048.298187
-5115.800965,15.000000000000325,2081.316526
-5279.081447,15.000000000000325,2114.274075
-3664.125068,15.000000000000325,2143.955045
-6131.711485,15.000000000000325,2174.606173
-5306.472605,15.000000000000325,2208.088881
-4446.509147,15.000000000000325,2236.833029
-5589.284835,15.000000000000325,2273.72807
-4400.174967,15.000000000000325,2306.585001
-4169.65214,15.000000000000325,2339.595413
-4334.020973,15.000000000000325,2370.650295
-5036.957486,15.000000000000325,2406.625901
-6649.608198,15.000000000000325,2438.605957
-5188.460338,15.000000000000325,2469.854924
-4531.340705,15.000000000000325,2502.440426
-4054.67946,15.000000000000325,2533.220312
-7138.390624,15.000000000000325,2561.659836
-5277.630177,15.000000000000325,2595.098228
-5454.762556,15.000000000000325,2632.549
-5009.805139,15.000000000000325,2671.460256
-4828.039253,15.000000000000325,2701.683603
-4493.984127,15.000000000000325,2732.583861
-4299.230323,15.000000000000325,2765.160391
-4565.236431,15.000000000000325,2796.627661
-4223.217926,15.000000000000325,2829.363894
-5098.149214,15.000000000000325,2865.907211
-6260.586837,15.000000000000325,2900.063485
-5455.714125,15.000000000000325,2935.193363
-5059.260926,15.000000000000325,2972.157232
-3916.23624,15.000000000000325,3004.388248
-5037.043049,15.000000000000325,3038.4576
-4711.723608,15.000000000000325,3072.380202
-4779.24466,15.000000000000325,3105.505365
-4721.513643,15.000000000000325,3141.642947
-3874.164497,15.000000000000325,3172.956266
-4368.933316,15.000000000000325,3206.024633
-4616.869798,15.000000000000325,3238.156293
-4908.049993,15.000000000000325,3268.668373
-4897.983575,15.000000000000325,3303.529459
-5592.260383,15.000000000000325,3336.232337
-4431.65059,15.000000000000325,3371.260598
-4038.422857,15.000000000000325,3403.370764
-5169.276492,15.000000000000325,3447.435191
-5184.945468,15.000000000000325,3482.317149
-4853.641792,15.000000000000325,3513.208482
-5208.623416,15.000000000000325,3550.235745
-4760.026264,15.000000000000325,3586.686594
-5306.887936,15.000000000000325,3625.24056
-4337.387254,15.000000000000325,3655.104701
-4250.136501,15.000000000000325,3685.507005
-4051.952288,15.000000000000325,3720.016555
-4930.234441,15.000000000000325,3747.872627
-4833.41193,15.000000000000325,3778.487012
-5215.290934,15.000000000000325,3815.358023
-7514.528344,15.000000000000325,3844.52969
-5481.051881,15.000000000000325,3876.328398
-4560.888776,15.000000000000325,3908.968573
-5580.132665,15.000000000000325,3942.884306
-6039.937341,15.000000000000325,3971.218806
-4913.399801,15.000000000000325,4004.801299
-5032.432102,15.000000000000325,4036.878403
-4568.018222,15.000000000000325,4069.074703
-5163.754801,15.000000000000325,4104.484234
-4305.756715,15.000000000000325,4140.792808
-4741.790087,15.000000000000325,4173.712914
-5349.997138,15.000000000000325,4205.488921
-4070.459098,15.000000000000325,4238.272687
-4499.154775,15.000000000000325,4272.960313
-4514.128337,15.000000000000325,4304.465677
-3761.330318,15.000000000000325,4338.376266
-4967.832287,15.000000000000325,4371.538673
-4775.788991,15.000000000000325,4407.324188
-4508.399356,15.000000000000325,4438.867884
-3543.78267,15.000000000000325,4470.741625
-4971.636495,15.000000000000325,4507.360875
-5441.471493,15.000000000000325,4540.032001
-4635.249395,15.000000000000325,4574.868867
-4023.440179,15.000000000000325,4614.259111
-5082.46754,15.000000000000325,4647.494483
-4151.752655,15.000000000000325,4679.584356
-4731.277176,15.000000000000325,4710.118693
-3461.337201,15.000000000000325,4742.507708
-5022.301303,15.000000000000325,4775.419683
-7895.830963,15.000000000000325,4808.337219
-5041.992911,15.000000000000325,4842.432905
-4375.050392,15.000000000000325,4872.89948
-7235.752201,15.000000000000325,4903.9067
-6200.371937,15.000000000000325,4931.67282
-4657.262363,15.000000000000325,4964.151427
-4458.577638,15.000000000000325,4993.958583
-5236.483893,15.000000000000325,5027.004231
-4777.034021,15.000000000000325,5062.200992
-4082.222697,15.000000000000325,5093.354095
-5597.090271,15.000000000000325,5126.057481
-4701.606674,15.000000000000325,5160.78482
-4176.934567,15.000000000000325,5194.752247
-3691.503437,15.000000000000325,5224.13404
-4298.839267,15.000000000000325,5256.155942
-4593.592386,15.000000000000325,5290.668113
-5720.595323,15.000000000000325,5324.524316
-5376.663165,15.000000000000325,5355.511132
-5631.934579,15.000000000000325,5385.577092
-4938.617216,15.000000000000325,5420.551055
-5356.587586,15.000000000000325,5451.062744
-5992.19831,15.000000000000325,5484.222695
-4047.6844,15.000000000000325,5514.622774
-4330.456339,15.000000000000325,5549.744307
